Mission Control demo credentials (deterministic -- same on every run; see README's Demo credentials section):
Intentionally-fake demo credentials for a LAN-only take-home demo instance -- committed on purpose, not a leaked secret. Secret-scanning alert on this file? See the PRD's Refinement log (R-13) for why.

ORG                          ROLE          NAME             EMAIL                            PASSWORD
Northwind Disaster Response  director      Dana Whitfield   director.dana@northwind.demo     MissionControl2026!
Northwind Disaster Response  crew_member   Finley Whitaker  finley.whitaker@northwind.demo   MissionControl2026!
Northwind Disaster Response  crew_member   Finley Delgado   finley.delgado@northwind.demo    MissionControl2026!
Northwind Disaster Response  crew_member   Finley Kowalski  finley.kowalski@northwind.demo   MissionControl2026!
Northwind Disaster Response  crew_member   Finley Iverson   finley.iverson@northwind.demo    MissionControl2026!
Northwind Disaster Response  crew_member   Finley Mbeki     finley.mbeki@northwind.demo      MissionControl2026!
Northwind Disaster Response  crew_member   Reese Whitaker   reese.whitaker@northwind.demo    MissionControl2026!
Northwind Disaster Response  crew_member   Reese Delgado    reese.delgado@northwind.demo     MissionControl2026!
Northwind Disaster Response  crew_member   Reese Kowalski   reese.kowalski@northwind.demo    MissionControl2026!
Northwind Disaster Response  crew_member   Reese Iverson    reese.iverson@northwind.demo     MissionControl2026!
Northwind Disaster Response  crew_member   Reese Mbeki      reese.mbeki@northwind.demo       MissionControl2026!
Northwind Disaster Response  crew_member   Marlowe Whitaker marlowe.whitaker@northwind.demo  MissionControl2026!
Northwind Disaster Response  crew_member   Marlowe Delgado  marlowe.delgado@northwind.demo   MissionControl2026!
Northwind Disaster Response  crew_member   Marlowe Kowalski marlowe.kowalski@northwind.demo  MissionControl2026!
Northwind Disaster Response  crew_member   Marlowe Iverson  marlowe.iverson@northwind.demo   MissionControl2026!
Northwind Disaster Response  crew_member   Marlowe Mbeki    marlowe.mbeki@northwind.demo     MissionControl2026!
Beacon Relief Network        director      Elena Vasquez    director.elena@beacon.demo       MissionControl2026!
Beacon Relief Network        mission_lead  Omar Farouk      lead.omar@beacon.demo            MissionControl2026!
Beacon Relief Network        mission_lead  Grace Liu        lead.grace@beacon.demo           MissionControl2026!
Beacon Relief Network        crew_member   Noah Bennett     noah.bennett@beacon.demo         MissionControl2026!
Beacon Relief Network        crew_member   Maya Patel       maya.patel@beacon.demo           MissionControl2026!
Beacon Relief Network        crew_member   Liam O'Connor    liam.oconnor@beacon.demo         MissionControl2026!
Beacon Relief Network        crew_member   Sofia Rossi      sofia.rossi@beacon.demo          MissionControl2026!
Beacon Relief Network        crew_member   Ethan Park       ethan.park@beacon.demo           MissionControl2026!
Beacon Relief Network        crew_member   Zara Ahmed       zara.ahmed@beacon.demo           MissionControl2026!
